Disease,Study Name,Eligibility Criteria
Depression,Buspirone and Melatonin for Depression Following Traumatic Brain Injury,"Inclusion Criteria:

Patients with mild or moderate TBI will be included. To be included, a subject must meet the criteria below:

1. Non-penetrating mild or moderate traumatic brain injury that occurred 3 or more months prior to study entry (to minimize natural recovery from TBI)
2. Age: 18-64 years
3. Meeting any one of the following severity criteria, as documented in the patient's medical records:

   1. Glasgow Coma Scale (GCS) score of 9-15 within 4 hours after injury
   2. Loss of consciousness (LOC) \>1 minute and \<=24 hours
   3. Post-traumatic amnesia (PTA) \< 7 days
4. English-speaking
5. Current DSM-5 diagnosis of Major Depressive Episode by medical record diagnosis
6. HAM-D-21 score of 18 or higher
7. Patients who are considered to be appropriate by their clinician and who are willing to be started on Buspirone and Melatonin for clinical purposes.

Exclusion Criteria:

1. History of neurological disorder (e.g., stroke, epilepsy, multiple sclerosis, HIV, neurodegenerative disorders) or any acute or unstable medical condition that is likely to interfere with the assessments or with participation in treatment, as determined by history by the patient or review of their medical records.
2. Evidence from the history of TBI severity greater than moderate, i.e., GCS of 8 or less, LOC \> 24 hours, or PTA \> 7 days.
3. Inability to attend regular appointments
4. Imminent risk of suicide, as determined by the assessing clinician; HAM-D, Question 3, answers \> 1; SDQ, Question 11, answers \> 3; spontaneous expressions of suicidal ideation will result in emergency evaluation by a licensed clinician member of study staff for appropriate assessment and triage.
5. Lifetime history of schizophrenia or other primary psychotic disorders, as determined by history by the patient or review of their medical records.
6. History of bipolar disorder, as determined by history by the patient or review of their medical records.
7. Alcohol or substance dependence in the past 3 months, as determined by history by the patient or review of their medical records.
8. Pregnancy or breast-feeding
9. Concomitant use of buspirone, any psychostimulant, or modafinil/armodafinil
10. Patients currently on an antidepressant or who have been on antidepressant in the past 4 weeks
11. Patients with prior intolerances to buspirone or melatonin.
12. Conditions that would preclude a subject from participating in the MRI procedures (e.g., metal implants, aneurysm clips, shrapnel/retained particles, pacemakers, claustrophobia)."
Depression,Leveraging Implementation Science to Increase Access to Trauma Treatment for Incarcerated Drug Users,"Inclusion criteria for all participants:

* 18 years of age or older
* Able to understand and speak English
* Able to give informed consent

Inclusion criteria for key stakeholders/informants participating in Aims 1-3 (additional requirements):

* All items listed in ""Inclusion criteria for all participants""
* Invited by the PI to participate, due to specific role within project sites (e.g., current Warden, treatment staff member, officer, study therapist)

Inclusion criteria for prisoners completing formative evaluation interviews in Aim 1 and pre-treatment assessments in Aim 3 (additional requirements):

* All items listed in ""Inclusion criteria for all participants""
* Incarcerated in either East Central Arkansas Community Correction Center (ECACCC) or Northeast Arkansas Community Correction Center (NEACCC)
* Have a pre-incarceration history of substance use disorder
* Have a history of traumatic event exposure and self-report ongoing trauma-related difficulties
* Be within 9 months of release from incarceration
* Expect to reside in Arkansas throughout the study period

Inclusion criteria for prisoners to enroll in the Hybrid Trial in Aim 3 (additional requirements):

* All items listed in ""Inclusion criteria for all participants""
* All items listed in ""Inclusion criteria for prisoners completing pre-treatment assessments in Aim 3""
* Evidence clinically significant PTSD symptoms during pre-treatment (baseline) assessment per the Structured Clinical Interview for the DSM
* Have a pre-incarceration history of substance use disorder (confirmed by clinical interview)

Exclusion criteria for prisoners to enroll in the Hybrid Trial in Aim 3 (additional requirements):

* Unwilling to consent to randomization
* Unable to provide locator information for post-release assessments"
Depression,Preventing Depression Recurrence in Diabetes,"Inclusion Criteria:

* 18-80
* Type 1 or Type 2 Diabetes
* Screen positive for depression

Exclusion Criteria:

* Are pregnant or lactating
* Are known to be hypersensitive to the drug
* Have a recent history of myocardial infarction or unstable heart disease
* Have severe hepatic disease or renal impairment (serum creatinine \> 3 mg/dl)
* The subset of patients with psychiatric disorders thought to affect management (e.g., schizophrenia, alcohol and drug dependence) will also be excluded from participation"
Depression,"Evaluation of Theta-burst Stimulation Efficacy, Safety and Tolerability in Major Depressive Episodes of Bipolar I Disorder","Inclusion Criteria:

* Current moderate or severe major depressive episode in bipolar I disorder assessed with Hamilton Depression Rating Scale (HAM-D) score ≥ 17 points.
* Any appropriate first or second line pharmacological regimen in accordance with Canmat guidelines to treat a major depressive episode in bipolar I disorder:

Quetiapine 300 - 600 mg/dia; Lithium serum levels 0,6 - 1,2 meq/L; Lamotrigine 100 - 200 mg/dia; Lurasidone 20 - 120 mg/dia; Divalproex; Lithium/Divalproex + Lurasidone; Lithium/Divalproex + Lamotrigine; Olanzapine 5 - 20 mg/day + Fluoxetine 20 - 60 mg/day; Lithium/Divalproex + SSRI/Bupropion.

Exclusion Criteria:

* Concomitant diagnosis of other neuropsychiatric disorders such as: schizophrenia, dementias, mental retardation, organic mental disorder, or epilepsy;
* Acute suicide ideation (assessed by interview and clinical evaluation);
* Acute psychotic depression (assessed by interview and clinical evaluation);
* Suspected or confirmed pregnancy;
* Women in breastfeeding;
* Severe or unstable clinical disease;
* Previous rTMS treatment;
* Specific contraindications to TBS: previous epileptic seizures; change in electroencephalogram at some point in life; previous stroke; previous severe traumatic brain injury (with neurosurgery); metallic object on head (except mouth) as projectile piece, surgical clip, welding fragments; any implanted device (cardiac pacemaker, intravenous catheter)."
Depression,Evaluating the Effects of Stress in Pregnancy,"Inclusion Criteria:

* Meets DSM-IV criteria for major depressive disorder, panic disorder, obsessive-compulsive disorder, generalized anxiety disorder, or post-traumatic stress disorder
* Planning pregnancy or less than 16 weeks pregnant by last menstrual period
* Written and verbal fluency in English
* Known identity of biological father

Exclusion Criteria:

* Suicidal or homicidal
* Psychosis
* Meets DSM-IV criteria for bipolar disorder, schizophrenia, or an eating disorder
* Alcohol or substance abuse within 6 months prior to study start date
* Current illness requiring treatment that can influence outcomes (e.g., epilepsy, asthma, autoimmune disorders)
* Abnormal thyroid stimulating hormone
* Anemic"
Depression,Study of Naltrexone-Induced Blockade of Antidepressant Effects,"Inclusion Criteria:

* Adults, age 18-55 years; fluent in English and with the capacity to understand the nature of the study and sign the written informed consent since the research instruments used in this study are not available in other languages;
* Written informed consent obtained;
* Outpatients with a current primary diagnosis of nonpsychotic Major Depressive Disorder (MDD) per the Mini-International Neuropsychiatric Interview (M.I.N.I) with or without certain anxiety disorders (e.g., generalized anxiety, panic, agoraphobia, social phobia, and specific phobia); HDRS-17 score of ≥ 16 at Screening Visit;
* No more than one failed antidepressant trial of adequate dose and duration, as defined by the Massachusetts General Hospital Antidepressant Treatment Response Questionnaire (MGH-ATRQ);
* Participants will need to be antidepressant medication-free for at least 21 days prior to the collection of imaging data (five weeks for fluoxetine). However, individuals currently taking antidepressants will not be eligible to enroll in the study, even if they are willing to stop their medications.

Exclusion Criteria:

* Currently taking opioid analgesics or in acute opioid withdraw.
* Pregnant or breastfeeding or plan to become pregnant over the duration of the study;
* History (lifetime) of psychotic depressive, schizophrenic, bipolar (I, II, or NOS), schizoaffective, or other Axis I psychotic disorders;
* Meeting M.I.N.I. criteria for substance dependence in the last 6 months, except for nicotine, or substance abuse in the last 2 months;
* Requiring immediate hospitalization for psychiatric disorder or have an unstable general medical condition (GMC) that will likely require hospitalization or to be deemed terminal (life expectancy \< 6 months after study entry);
* Requiring medications for their GMCs that contraindicate treatment with naltrexone;
* Having epilepsy or other conditions requiring an anticonvulsant;
* Receiving or have received during the current episode vagus nerve stimulation, ECT, or rTMS.
* Currently taking any psychiatric medication or other potential augmenting agents (e.g., T3 in the absence of thyroid disease, lithium, buspirone); Taking thyroid medication for hypothyroidism may be included only if they have been stable on the thyroid medication for 3 months;
* Receiving therapy that is depression specific, such as CBT or Interpersonal Psychotherapy of Depression (participants can participate if they are receiving psychotherapy that is not targeting the symptoms of depression, such as supportive therapy, marital therapy);
* Currently actively suicidal or considered a high suicide risk;
* Currently enrolled in another study, and participation in that study contraindicates participation in this study;
* Any reason not listed herein yet, determined by the site PI and research staff that makes participation in the study hazardous.
* Having any contraindication for the performance of an MRI, such as: the presence of metal implants or foreign metallic objects (e.g., braces or extensive dental work), severe claustrophobia, or inability to tolerate the scanning procedures."
Depression,Improving Sports and Recreation Services in Mashhad for Elderly and Intergenerational Interaction (ESPIRE-M),"Eligibility Criteria

Inclusion Criteria:

Elderly Participants:

Aged 60 years or older.

Ability to engage in physical activities.

Absence of sensory or motor disabilities.

No use of antidepressant medications.

No history of conditions such as Alzheimer's or other illnesses that could pose risks during exercise.

Younger Participants:

Aged 20 to 24 years.

Unmarried.

Living with their parents.

Native residents of Mashhad.

Exclusion Criteria:

Irregular attendance (more than two absences).

Physical or psychological issues hindering participation.

Lack of willingness to continue."
Depression,Study of Maca Root for the Treatment of Antidepressant-Induced Sexual Dysfunction in Females,"Inclusion Criteria:

* Subject is female, age 18 to 80 years
* Subject has been taking an SSRI, venlafaxine, or tri/heterocyclic antidepressant for the treatment of depression for at least 8 weeks; and is currently on a stable dose of the antidepressant for at least 4 weeks
* Subject is currently euthymic (HAM-D \< 10) and is without significant anxiety symptoms (HAM-A \< 10)
* Subject must have had no sexual dysfunction prior to taking antidepressant and there must be a clear temporal relationship between the sexual dysfunction and the antidepressant treatment
* Subject must have been consistently experiencing at least one of the following criteria for at least 4 weeks, with distress or disability:

  * Inability to have an orgasm, according to patient opinion
  * Clinically significant orgasm delay with masturbation or intercourse
  * Inability to attain or maintain until completion of sexual activity an adequate lubrication swelling response of sexual excitement
  * Decreased libido according to patient opinion
* Subject must be having or had been having some form of regular sexual activity (masturbation, oral sex, intercourse) at least twice monthly prior to the antidepressant treatment and are willing to continue efforts at sexual activity at least once weekly for the duration of the study
* Subject must be in good general physical health
* Subject must be able to understand and communicate in English
* Subject must have given informed consent to participate in the study

Exclusion Criteria:

* Primary or prior diagnosis of a sexual disorder (other than the side effect of the bipolar medication or symptom of the bipolar disorder)
* Sexual dysfunction secondary to general underlying medical condition
* Penile, vaginal, clitoral or other sexual organ anatomical deformities
* Any uncontrolled psychiatric disorder
* Alcohol or substance abuse or dependence within the past six months
* Recent major relationship changes, disruption, or turmoil ongoing or anticipated which are unrelated to her sexual dysfunction
* Hamilton Depression and/or Anxiety Scale score (either) \> 10
* Blood pressure outside the range of 90/50 - 170/100
* Known hyperprolactinemia
* Use of investigational drugs within previous 3 months or during study
* Current use of other drugs for antidepressant induced sexual dysfunction or other therapies or medications to treat sexual dysfunction
* Current use of nefazodone
* Hormone replacement therapy, unless patient has been on stable dose of hormone therapy for at least 3 mo prior to the antidepressant treatment and had no sexual dysfunction while on the same hormone therapy regimen, and there is no change in the HRT during the study
* Pregnancy, lactating, or planning to become pregnant during the study
* Child bearing potential subjects unwilling and/or not prepared and/or who are judged unreliable to use an acceptable and verifiable form of contraception during the study
* Any clinically significant abnormality on the screening physical examination
* History of hormonal cancers
* Any medical or psychological condition or social circumstances that would impair subject's ability to participate reliably in the study, or that may increase the risk to subjects or others as a result of participating in this study
* Dyspareunia secondary to an inflammatory or anatomical condition
* Prior use of maca for at least two weeks
* Infection of the urogenital tract that may make sexual activity painful or difficult
* Subjects whose sexual partners are suffering from and/or receiving treatment for sexual dysfunction
* Receiving psychosexual or other therapy for sexual dysfunction and not willing to discontinue that treatment at screening
* Subjects who do not understand and communicate in English
* Subjects for whom sexual activity is inadvisable
* Subjects whose sexual dysfunction is considered to be situational
* Subjects not attempting some form of regular sexual activity at least twice monthly and at least once weekly during study visit intervals for duration of entire study
* Changes in antidepressant agent and/or dose of medication within the last 4 weeks before baseline visit
* Participants on medications with a narrow therapeutic window or low therapeutic index for which small variations may be harmful given the lack of systematic experience with drug-supplement interactions (i.e. - cyclosporine, digoxin, warfarin, and antiretrovirals)"
Depression,Physical Activity Intervention for Trauma Afflicted Refugees,"Inclusion Criteria:

* Arabic/Persian speaking persons.
* Persons with refugee background referred to the Swedish Red Cross Treatment Center for trauma related to war and/or torture.
* Person able to undertake physical activity in a group setting.

Exclusion Criteria:

* Current serious suicidal ideation, psychosis, serious cognitive impairments, current substance abuse, acute physical injuries or other health conditions that constrain physical activity."
Depression,Mind Power - A CBT Based Program for Adolescents,"Inclusion Criteria:

* 10 high Schools have implemented Mind Power in their ordinary scheduals. We include all the students in these school classes, all the classes that the school principals have desided can attend in the study. The Principals choose which classes that will attend in the study, due to the amount of teachers who are able to attend in the project, and due the fixed time scheduals in their ordinary school plan. Then we randomize which of these school classes that starts Mind Power first (Group 1) and which starts six months later (Group 2).

Exclusion Criteria:

* none"
Depression,Clinical Study of Dexmedetomidine Administered Intranasally to Relieve Perioperative Anxiety and Depression in Patients With Colorectal Tumors,"Inclusion Criteria:

1. Patients with a preoperative diagnosis of colorectal cancer who were to undergo their first oncologic procedure
2. Patients who opted for general anesthesia via orotracheal intubation
3. Age ≥18 years old
4. ASA classification II-III (5) 18.0 \< BMI \< 30.0
5. Signed informed consent.

Exclusion Criteria:

1. Diagnosed mental illness or cognitive impairment, or taking antipsychotic, sedative-hypnotic, or anxiolytic-depressant medications
2. Serious abnormalities of liver or kidney function.
3. Prior alcohol or drug abuse
4. Second or third degree atrioventricular block, severe sinus bradycardia (\<50 beats/min), sick sinus node syndrome, congenital heart disease, and other cardiac arrhythmias that severely affect hemodynamic stability
5. Grade 3 hypertension
6. Any disease of the head, such as cerebral infarcts, epilepsy, head trauma, etc.
7. Confirmed diagnosis of non-tumor-induced chronic ( ≥3 months) neuropathic pain
8. Inability to understand the meaning of the scale and complete the scoring.
9. Women preparing for pregnancy, pregnant women, or breastfeeding
10. Patients with myasthenia gravis
11. Respiratory function score ≥3"
Depression,Oliceridine in Patients With Acute Burn Injuries,"Inclusion Criteria:

* 1) age ≥ 18 years old,
* 2) total body surface area (TBSA) burned \< 20%
* 3) deep partial thickness or full thickness burns admitted for possible or definitive surgical needs,
* 4) moderate or severe pain related to acute burns (NRS ≥ 4 out of 10)

Exclusion Criteria:

* 1) Presence of inhalation injury,
* 2) Pregnant,
* 3) Incarcerated,
* 4) only initial admission,
* 5) known anaphylaxis to oliceridine or other opioids,
* 6) Patient or authorized representative unable or unwilling to consent,
* 7) known cocaine, methamphetamine, or opioid use history,
* 8) use of numeric rating scale (NRS) would be inaccurate or inappropriate
* 9) Significant hepatic dysfunction"
Depression,Indicated Prevention Transdiagnostic Intervention for Adolescents At High Risk of Emotional Problems,"Inclusion Criteria:

* written informed consent from adolescent and legal guardian
* able to attend prevention modules on his/her own
* language competence
* Strengths and Difficulties Questionnaire """"probable diagnoses""
* score above cut-off for Revised Child Anxiety and Depression Scale-30
* absence of anxiety and/or mood disorders

Exclusion Criteria:

* in- or outpatient
* concomitant psychological/psychiatric treatment
* acute suicidality
* general medical contraindications that hamper attendance to prevention modules
* Strengths and Difficulties Questionnaire ""unlikely"" or ""possible diagnoses""
* presence of mood and/or anxiety disorders"
Depression,Mental Health App for Cancer Survivors Study,"Inclusion Criteria:

* History of HNC confirmed by histopathologic diagnosis. The signed report must be available on electronic health record (EHR) for participants who received treatment or follow-up at University of Wisconsin Carbone Cancer Center (UWCCC). Alternatively, participants must have a printed signed report if received treatment out of UWCCC
* Age greater than or equal to 22 years at the time of consent
* Patient Health Questionnaire-9 (PHQ-9) score ≥ 10 and ≤ 19 (moderate and severely moderate depression)
* Willing to comply with all study procedures and be available for the duration of the study.

Exclusion Criteria:

* Unable to read and speak English.
* Utilization of prescription medicine for depression.
* Patient Health Questionnaire-9 (PHQ-9) score of greater than or equal to 20 (severe depression)
* Patient Health Questionnaire-9 (PHQ-9) score greater than or equal to 1 on the suicidal question (question 9)
* Pregnant people"
Depression,Metacognitive Training Program With Depression,"Inclusion Criteria:

* Participation in the Metacognitive Training Program
* Subjects with an age over 55 years and a diagnosed mild to moderate depression without psychotic Symptoms (F32, F33)
* Subjects have to be able to understand verbal and written information regarding treatment and procedures of the study.
* Subjects have to be able to understand and perform verbal and written tasks (cognitive tests/questionnaires).
* No evidence of suicidal tendency

Exclusion Criteria:

* Taking of medication or drugs that could influence cognition
* Diseases that prevent the subject from giving consent to this study or affect the collaboration during the examination
* Major and/or unstable physical diseases
* Strongly impaired vision/eye diseases
* Psychotic or manic symptoms
* Benzodiazepine addiction/dependency
* Suicidal tendency"
Depression,Evaluation of a Home-based AOMI Intervention on Cognitive Function and Depression Among Adults with SCI,"Inclusion Criteria:

* Diagnosis of SCI according to the International Standards for the Neurological Classification of SCI with confirmation by computed tomography/magnetic resonance imaging;
* At least 18 years old;
* With stable spinal systems and good vital signs, and currently living in the community and having SCI for more than 6 months;
* No contraindications to undergoing MRI examination (e.g., no metal or electronic devices in the body, not pregnant, and absence of claustrophobia);
* Having a mobile Internet terminal (usually a smartphone) and proficient independent or caregiver-assisted usage;
* Able to communicate in Cantonese and to provide informed consent.

Exclusion Criteria:

* Having severe problems in hearing, verbal communication, or vision;
* Engaged in ongoing psychotherapy or any other physiotherapy/ exercise/ relaxation interventions;
* Physically active for more than 150 minutes moderate-intensity exercise per week;
* Diagnosis of mental disorders or substance misuse;
* With severe cognitive impairment (Hong Kong Montreal Cognitive Assessment (HK-MoCA) score ≤ 18."
Depression,Combined Illness Management and Psychotherapy in Treating Depressed Elders,"Inclusion Criteria:

* Age 55 years or older
* Diagnosis of Heart Failure or COPD
* Depressive symptoms indicated by a BDI-II score of 10 or higher
* Functional impairment

Exclusion Criteria:

* Current psychotherapy
* Cognitive Impairment
* Psychiatric diagnosis
* Active suicidal thoughts
* Significant vision or hearing impairment
* Residence in long term care facility"
Depression,Prevention of Depression in HIV/HCV Co-infected Substance Abuse Patients,"Inclusion Criteria:

1. \>21 years
2. Speak and read English to 5th grade level of higher.
3. Eligible and ready to begin Peg-Interferon and Ribavirin (PEG-IFN/RBV) therapy for HCV at Mount Sinai's Primary Care practice or JMFC
4. HIV infected patients will need to have a CD4 count \> 100 and have demonstrated compliance to retroviral therapy
5. Not majorly depressed upon entry to study.
6. Signed informed consent to participate in CBT study

Exclusion Criteria:

1. Majorly depressed (based on administration of the PHQ-9, score considered for Major Depressive Disorder).
2. Admit to actively abusing illicit drugs or alcohol
3. Medical contraindications to a standard course of interferon/ribavirin therapy (eg: severe anemia, uncontrolled congestive heart failure)
4. Less than one year of life expectancy
5. Current participation in CBT related psychotherapy
6. Participation in any psychotherapy beginning less than 6 months before CBT sessions begin.
7. Initiated anti-depressant medication less than 6 months before CBT sessions begin
8. Severe comorbid psychiatric disease including bipolar disorder, severe personality disorder, or psychotic disorder
9. Active suicidal ideation"
Depression,Effects of Respiratory-Gated Transcutaneous Vagal Nerve Stimulation in Major Depression (Phase 1),"Inclusion Criteria:

* Diagnosis of recurrent Major Depressive Disorder with a current active depressive episode
* Currently not taking psychiatric medications or on a stable therapeutic dose of psychiatric medication for at least 30 days prior to entering the study

Exclusion Criteria:

* History of cardio-, cerebro-, or peripheral vascular disease, diabetes mellitus, morbid obesity (BMI \> 40 kg/m2), kidney or liver failure, history of unexplained fainting spells
* Any psychiatric disorder involving a history of psychosis (e.g. schizophrenia, bipolar disorders, severe personality disorders)
* Any chronic condition affecting movement, speech and/or ability to read or follow written instructions
* Substance use disorder, either mild, moderate, or severe within the past 12 months (excludes nicotine)
* History of suicide attempt within the last year or current active suicidal ideation
* History of a clinically defined neurological disorder including, but not limited to: Any condition likely to be associated with increased intracranial pressure; space occupying brain lesion; History of cerebrovascular accident; Transient ischemic attack within two years; Cerebral aneurysm; Dementia; Parkinson's Disease; Huntington's chorea; or Multiple sclerosis.
* Pregnant or nursing
* Metallic implants or devices contraindicating tVNS"
Depression,The Oh Happy Day Class - Digital Connections (OHDC-DC): A Pilot Study,"Inclusion Criteria:

* African-American
* Age 18 and older
* Experiencing depression (as evidenced by a score of 5 or higher on the PHQ-9)
* Own a mobile phone

Exclusion Criteria:

* Individuals who are currently receiving psychotherapy
* Individuals who are presently experiencing suicidal ideation
* Individuals who started psychotropic medication less than three months prior to the start of the OHDC will be excluded from the study
* Participants scoring 25 or higher on the PHQ-9 will be screened out"
Depression,Effectiveness of the First French Psychoeducational Program on Unipolar Depression,"Inclusion Criteria:

* aged 18-65 years
* with a main diagnosis of non-psychotic non-chronic (\<2 years) major depressive episode (DSM-IV criteria) of moderate to severe intensity (Montgomery Asberg Depression Scale score \> 24)
* taking at least one antidepressant
* able to speak, read and understand French
* and able to give written informed consent

Exclusion Criteria:

* current psychotic features
* duration of current depressive episode \>2 years
* current organic mental disorder or mental retardation, or severe comorbid medical condition
* lifetime history of schizophrenia, or schizoaffective or bipolar disorder, manic, hypomanic, or mixed episodes according to DSM-IV criteria
* sensory or cognitive disabilities
* having a relationship or being employed by the sponsor or investigator.
* We will also exclude patients who are planning a long stay outside the region preventing compliance with the scheduled visits, and subjects participating in another trial."
Depression,Biofeedback for Asthma Comorbid With Anxiety or Depression,"Inclusion Criteria:

* Asthma: A diagnosis of asthma within the past year, and any of the following: history of a previous positive methacholine challenge test, or history of a positive response to albuterol and/or inhaled or oral steroid medication. We only will accept patients whose asthma is not under complete control, so an additional criterion will be an Asthma Control Test score of \< 19.
* Age: 18-75.
* Anxiety: A Beck Anxiety Scale score ≥ 10 (mild anxiety) and a history of medical or psychological treatment of anxiety within the past year.

Exclusion Criteria:

* Comorbid disease. A diagnosed lung disease other than asthma, a cardiac rhythm disturbance (e.g., frequent preventricular or preatrial contractions, mitral valve prolapse, active psychosis, taking antipsychotic medications, presence of other serious or life threatening disease (e.g., cancer, or serious renal, hepatic, cardiac, immunodeficiency, neurological, or other disease), epileptic seizure within the past year
* Asthma Severity: Hospitalization for asthma within the past year.
* Linguistic and intellectual competence. Inability to understand English, illiteracy, or mental incapacity, understand informed consent procedures, or complete questionnaires or follow procedures.
* Smoking: Patients must be non-smokers for at least the past year and have less than a 15 pack-year smoking history."
Depression,Pilot Study Comparing 10hz vs Theta Burst Stimulation,"Inclusion Criteria:

* outpatients
* voluntary and competent to consent
* Mini-International Neuropsychiatric Interview (MINI) confirmed diagnosis of Major Depressive Disorder (MDD), single, recurrent between ages 18-65
* failed to achieve a clinical response to an adequate dose of an antidepressant based on an Antidepressant Treatment History Form (ATHF) score of ≥ 3 in the current episode or have been unable to tolerate at least 2 separate trials of antidepressants of inadequate dose and duration (ATHF 1 or 2)
* have a score of ≥ 18 on the Hamilton Depression Rating Score 17-item (HDRS-17)
* have had no increase or initiation of any psychotropic medication in the 4 weeks prior to screening able to adhere to the treatment schedule
* Pass the TMS adult safety screening (TASS) questionnaire
* have normal thyroid functioning based on pre-study blood work

Exclusion Criteria:

* have a history of substance dependence or abuse within the last 3 months
* have a concomitant major unstable medical illness, cardiac pacemaker or implanted medication pump
* have active suicidal intent
* are pregnant
* have a lifetime MINI diagnosis of bipolar I or II disorder, schizophrenia, schizoaffective disorder, schizophreniform, delusional disorder, or current psychotic symptoms
* have a MINI diagnosis of obsessive-compulsive disorder, post-traumatic stress disorder (current or within the last year), anxiety disorder (generalized anxiety disorder, social anxiety disorder, panic disorder), or dysthymia assessed by a study investigator to be primary and causing greater impairment than MDD"
Depression,Computer-Based Intervention in HIV-Positive Young Adults,"Inclusion Criteria:

* 23-53 years of age
* Fluent in English
* Be able to view images and text on a computer screen and hear audio using a headset
* Have a diagnosis of unipolar depression or have significant depressive symptoms noted in the electronic medical record (EMR) or referred to the study by a provider at the Grady Ponce de Leon Clinic because of their depressive symptoms
* Receive care at Ponce de Leon Center and at least 1 scheduled HIV medical appointment in the last 6 months
* Reside in the Atlanta, Georgia area
* Have a valid telephone number and email address
* Answer all items correctly on consent post-test

Exclusion Criteria:

* Diagnosis of bipolar depression
* Deaf, blind or unable to understand spoken English
* Currently pregnant, history of pregnancy within the last year or plan to become pregnant within the next 4 months
* Plan to move from the Atlanta, Georgia area within four months of study enrollment
* Taking corticosteroids or disease-modifying anti-rheumatic drugs
* If on antidepressant medication, taking it for less than 1 month
* Fail to pass post-consent test after three attempt"
Depression,Microbiome Shifts in Adolescent Anorexia Nervosa,"Inclusion Criteria:

* Female patients and volunteers between age 12 and 18 at inclusion.
* Written informed consent by Patient/volunteer and caregiver.
* Volunteers with BMI between 10 and 90 percentile of their age group.
* Volunteers without prior eating or mental disorder.

Exclusion Criteria:

* Psychotic disorder(s)
* Personality disorder(s)
* Alcohol and substance abuse
* Prone to self-harming behaviour
* Primary caregiver insufficient German language skills
* Patient/Volunteers IQ lower 85
* Antibiotic treatment within 4 weeks prior to inclusion"
Depression,Physician Survey on Monitoring of Patients Treated With Quetiapine,"Inclusion Criteria:

* Physicians targeted to receive the metabolic educational materials and either currently prescribe or have the potential to prescribe SEROQUEL® or SEROQUEL® XR.

Exclusion Criteria:

* Physicians who have participated in a survey involving SEROQUEL® / SEROQUEL® XR in the past six months are not eligible to participate in this survey."
Depression,Nurse-Led Interprofessional Mental Health Promotion Intervention for Older Home Care Clients,"Inclusion Criteria:

* long-stay (\> 60 days) home care clients
* 70 years or older
* newly referred to and receiving PSS through the CCAC
* living in the community (not in a long-term care home)
* mentally competent to give informed consent (or with a substitute decision-maker available)
* competent in English (or with an interpreter available)
* screens positive for depressive symptoms

Exclusion Criteria:

* receiving palliative care services
* not competent in English and no interpreter available
* not mentally competent to give informed consent and no substitute decision-maker available"
Depression,"Open-Label, Randomized Study Evaluating Treatment With Venlafaxine Extended-Release Plus Dialogues Time to Talk Program","Inclusion Criteria:

* Currently experiencing a major depressive episode, which requires the initiation of antidepressant drug treatment or a change in current antidepressant drug treatment
* At least 18 years of age

Exclusion Criteria:

* History or presence of bipolar disorder
* Current treatment with venlafaxine"
Depression,Ketamine Versus Placebo for Treatment Resistant Major Depressive Disorder,"Inclusion Criteria:

* Outpatient with sever treatment resistant depression
* Currently depressed
* Currently under regular psychiatric care
* On an aggressive antidepressant regimen, stable for 4 weeks.

Exclusion Criteria:

* No history of other major psychiatric illness, including bipolar
* No history of psychosis
* No history of drug abuse
* No major medical illness or unstable medical problem"
Depression,Proton MRS Study of SSRI-Zolpidem Interactions,"Participant Eligibility Criteria

* Participants will be male and female volunteers between the ages of 21-40 recruited via newspaper advertisements and web-based bulletin boards
* Participants will meet DSM-IV criteria for major depressive disorder, but they cannot meet criteria for any other major psychiatric disorders
* With the exception of certain short-term anti fungal agents, some topical creams for dermal conditions, and birth control pills, participants cannot be taking any prescription medication other than stable (i.e., ≥ 3 weeks) fluoxetine (≤ 40 mg/day; Prozac), sertraline (≤ 100 mg/day; Zoloft), citalopram (≤ 40 mg/day; Celexa), or paroxetine (≤ 40 mg/day; Paxil)
* Non-smoking participants are preferred, but will admit those who smoke less than 5 cigarettes per day
* Participants cannot have a history of major head trauma resulting in cognitive impairment.
* Participants cannot have any conditions that are contraindicated for MRI
* Participants cannot have any abnormal blood chemistries or urinalysis results or any current or history of cardiac problems"
Depression,Building Emotion Awareness and Mental Health (BEAM): Mothers of Toddlers,"Inclusion Criteria:

* A mother with a child aged 18-36 months old
* Moderate-to-severe symptoms of depression and/or anxiety (i.e., a score at or above 10 on the Patient Health Questionnaire and/or the General Anxiety Disorder scale
* Comfortable understanding, speaking, and reading English
* Live in Manitoba or Alberta, Canada
* Be available to attend weekly telehealth sessions
* Consent to wearing a Fitbit
* Complete baseline screener and questionnaire and be willing to meet the research team through Zoom (either during assessment or technology check in session).

Exclusion Criteria

* Child is outside of the 18-36 month age range
* Does not meet criteria for moderate-to-severe depression and/or anxiety
* Lives outside of Manitoba or Alberta
* A reported history of attempted suicide in the past year or self-harm in the past 6 months"
